device id,trip id,time (in centiseconds),wiper,camera_rain
10106,3470,240,0,0
10106,3470,512,0,0
10106,3470,870,0,0
10106,3470,1050,0,0
10106,3470,1260,0,0
10106,3470,1550,0,0
10106,3470,1810,0,0
10106,3470,2130,0,0
10106,3470,2400,0,0
10106,3470,2740,0,0
10106,3470,3050,0,0
10106,3470,3410,0,0
10106,3470,3720,0,0
10106,3470,4020,0,0
10106,3470,4340,0,0
10106,3470,4630,0,0
10106,3470,4930,0,0
10106,3470,5220,0,0
10106,3470,5540,0,0
10106,3470,5860,0,0
10106,3470,6140,0,0
10106,3470,6400,0,0
10106,3470,6660,0,0
10106,3470,7000,0,0
10106,3470,7280,0,0
10106,3470,7580,0,0
10106,3470,7910,0,0
10106,3470,8200,0,0
10106,3470,8550,0,0
10106,3470,8900,0,0
10106,3470,9160,0,0
10106,3470,9430,0,0
10106,3470,9720,0,0
10106,3470,10080,0,0
10106,3470,10430,0,0
10106,3470,10680,0,0
10106,3470,10990,0,0
10106,3470,11230,0,0
10106,3470,11530,0,0
10106,3470,11820,0,0
10106,3470,12100,0,0
10106,3470,12370,0,0
10106,3470,12590,0,0
10106,3470,12880,0,0
10106,3470,13150,0,0
10106,3470,13390,0,0
10106,3470,13590,0,0
10106,3470,13830,0,0
10106,3470,14080,0,0
10106,3470,14350,0,0
10106,3470,14660,0,0
10106,3470,14950,0,0
10106,3470,15220,0,0
10106,3470,15550,0,0
10106,3470,15960,0,0
10106,3470,16200,0,0
10106,3470,16410,0,0
10106,3470,16600,0,0
10106,3470,16870,0,0
10106,3470,17160,0,0
10106,3470,17440,0,0
10106,3470,17770,0,0
10106,3470,18120,0,0
10106,3470,18340,0,0
10106,3470,18640,0,0
10106,3470,18890,0,0
10106,3470,19110,0,0
10106,3470,19300,0,0
10106,3470,19550,0,0
10106,3470,19860,0,0
10106,3470,20330,0,0
10106,3470,20500,0,0
10106,3470,20730,0,0
10106,3470,21000,0,0
10106,3470,21280,0,0
10106,3470,21600,0,0
10106,3470,21830,0,0
10106,3470,22040,0,0
10106,3470,22230,0,0
10106,3470,22460,0,0
10106,3470,22770,0,0
10106,3470,23030,0,0
10106,3470,23290,0,0
10106,3470,23640,0,0
10106,3470,23950,0,0
10106,3470,24270,0,0
10106,3470,24520,0,0
10106,3470,24780,0,0
10106,3470,25100,0,0
10106,3470,25400,0,0
10106,3470,25580,0,0
10106,3470,25830,0,0
10106,3470,26110,0,0
10106,3470,26330,0,0
10106,3470,26580,0,0
10106,3470,26860,0,0
10106,3470,27220,0,0
10106,3470,27570,0,0
10106,3470,27920,0,0
10106,3470,28200,0,0
10106,3470,28450,0,0
10106,3470,28690,0,0
10106,3470,29030,0,0
10106,3470,29220,0,0
10106,3470,29530,0,0
10106,3470,29840,0,0
10106,3470,30160,0,0
10106,3470,30490,0,0
10106,3470,30810,0,0
10106,3470,31100,0,0
10106,3470,31330,0,0
10106,3470,31520,0,0
10106,3470,31810,0,0
10106,3470,32070,0,0
10106,3470,32360,0,0
10106,3470,32590,0,0
10106,3470,32860,0,0
10106,3470,33170,0,0
10106,3470,33560,0,0
10106,3470,33810,0,0
10106,3470,34050,0,0
10106,3470,34230,0,0
10106,3470,34570,0,0
10106,3470,34880,0,0
10106,3470,35220,0,0
10106,3470,35550,0,0
10106,3470,35980,0,0
10106,3470,36210,0,0
10106,3470,36520,0,0
10106,3470,36860,0,0
10106,3470,37150,0,0
10106,3470,37360,0,0
10106,3470,37680,0,0
10106,3470,37930,0,0
10106,3470,38230,0,0
10106,3470,38560,0,0
10106,3470,38940,0,0
10106,3470,39210,0,0
10106,3470,39540,0,0
10106,3470,39940,0,0
10106,3470,40280,0,0
10106,3470,40510,0,0
10106,3470,40890,0,0
10106,3470,41130,0,0
10106,3470,41360,0,0
10106,3470,41620,0,0
10106,3470,42000,0,0
10106,3470,42380,0,0
10106,3470,42560,0,0
10106,3470,42830,0,0
10106,3470,43150,0,0
10106,3470,43520,0,0
10106,3470,43820,0,0
10106,3470,44010,0,0
10106,3470,44370,0,0
10106,3470,44610,0,0
10106,3470,44990,0,0
10106,3470,45230,0,0
10106,3470,45550,0,0
10106,3470,45870,0,0
10106,3470,46210,0,0
10106,3470,46520,0,0
10106,3470,46820,0,0
10106,3470,47130,0,0
10106,3470,47420,0,0
10106,3470,47770,0,0
10106,3470,48060,0,0
10106,3470,48310,0,0
10106,3470,48520,0,0
10106,3470,48860,0,0
10106,3470,50130,0,0
10106,3470,50420,0,0
10106,3470,50680,0,0
10106,3470,50990,0,0
10106,3470,51240,0,0
10106,3470,51590,0,0
10106,3470,51830,0,0
10106,3470,52130,0,0
10106,3470,52460,0,0
10106,3470,52610,0,0
10106,3470,52970,0,0
10106,3470,53280,0,0
10106,3470,53640,0,0
10106,3470,53820,0,0
10106,3470,54160,0,0
10106,3470,54490,0,0
10106,3470,54680,0,0
10106,3470,54920,0,0
10106,3470,55230,0,0
10106,3470,55560,0,0
10106,3470,55810,0,0
10106,3470,56130,0,0
10106,3470,56450,0,0
10106,3470,56720,0,0
10106,3470,57000,0,0
10106,3470,57320,0,0
10106,3470,57610,0,0
10106,3470,57640,0,0
10106,3470,57870,0,0
10106,3470,58120,0,0
10106,3470,58430,0,0
10106,3470,58790,0,0
10106,3470,59010,0,0
10106,3470,59310,0,0
10106,3470,59670,0,0
10106,3470,59910,0,0
10106,3470,60210,0,0
10106,3470,60590,0,0
10106,3470,60870,0,0
10106,3470,61180,0,0
10106,3470,61480,0,0
10106,3470,61780,0,0
10106,3470,62030,0,0
10106,3470,62390,0,0
10106,3470,62750,0,0
10106,3470,63080,0,0
10106,3470,63370,0,0
10106,3470,63620,0,0
10106,3470,63950,0,0
10106,3470,64230,0,0
10106,3470,64570,0,0
10106,3470,64830,0,0
10106,3470,65120,0,0
10106,3470,65420,0,0
10106,3470,65790,0,0
10106,3470,66040,0,0
10106,3470,66310,0,0
10106,3470,66640,0,0
10106,3470,66920,0,0
10106,3470,67310,0,0
10106,3470,67690,0,0
10106,3470,67830,0,0
10106,3470,68090,0,0
10106,3470,68310,0,0
10106,3470,68510,0,0
10106,3470,68890,0,0
10106,3470,69160,0,0
10106,3470,69370,0,0
10106,3470,69660,0,0
10106,3470,69930,0,0
